STAID,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01105870,6.22970634,3.482972181,9.486143745,6.654459044999999,2.803367853,3.482972181,4.24752705,3.39802164,5.210299848,4.983765072,2.888318394,4.728913449,8.381786712,7.192479138,5.351884083,1.9170505419,3.624556416,7.362380219999999,3.511289028,3.709506957,6.116438952,5.097032459999999,6.371290575,4.587329214,6.824360126999999,3.171486864,8.721588876,5.210299848,8.155251935999999,3.539605875,5.38020093,6.909310668,2.888318394,6.342973728,4.842180837,6.342973728,8.410103559,6.427924269,4.785547143,5.465151471,10.19406492,3.596239569,2.4607340043,5.861587329,5.040398766,4.559012367,2.5938231852,5.181983001,6.682775892,5.153666154,3.029902629
01055000,82.96836171,95.42777439,60.31488411,105.62183931,77.87132925,39.92675427,75.60598148999999,59.4653787,108.17035554,140.45156112,73.34063373,103.63966002,100.52480685,97.97629062,107.32085013,37.09506957,199.35060288,258.24964464,46.72279755,179.24564150999998,96.2772798,79.85350853999999,78.15449772,170.75058741,84.950541,116.38224117,190.85554878,82.40202477,192.83772807,166.21989189,117.79808352,79.00400313,93.16242663,153.47731074,75.88914996,103.07332308,83.25153018,85.23370947,98.25945909,92.31292122,156.30899544,102.22381767,123.17828445,76.17231843,111.28520871,72.49112832,50.9703246,140.73472959,86.08321488,116.38224117,110.4357033
01116000,27.495658437,9.287925816,25.145360136,15.715850085,13.761987642,9.287925816,16.282187025,21.492486873,37.37823804,42.4752705,37.37823804,12.034659975,47.57230296,40.77625968,33.41387946,10.448916543,26.362984557,24.494072655,8.438420406,14.356641429,8.466737253,9.146341581,14.271690888,19.991693982,18.066148386,6.51287481,19.566941277,10.47723339,25.258627524,17.046741894,19.623574971,28.316847,10.222381767,16.112285943,24.182587338,41.90893356,24.947142207,28.316847,26.61783618,19.481990736,136.77037101,12.204561057,7.390697067,19.340406501,18.40595055,8.353469865,12.317828445,13.252284396,19.906743441,16.735256577,13.422185478
01193500,57.20003094,31.1485317,59.18221023,123.74462139,54.65151471,43.32477591,94.86143745,62.2970634,135.07136019,171.88326129,90.6139104,51.53666154,227.66744988,73.34063373,108.45352401,48.98814531,53.8020093,95.42777439,37.37823804,51.25349307,48.98814531,34.82972181,46.72279755,37.09506957,33.9802164,29.44952088,50.9703246,26.985955191,67.39409586,45.59012367,48.1386399,65.1287481,26.872687803,50.68715613,77.87132925,97.69312215,74.75647608,110.15253483,134.22185478,44.45744979,138.46938183,156.02582697,30.29902629,105.05550237,97.97629062,39.92675427,43.32477591,58.61587329,64.56241116,62.01389493,78.15449772
01173500,64.56241116,27.920411142,48.98814531,64.27924269,43.60794438,76.73865537,109.86936636,66.54459045,64.56241116,78.72083466,60.88122105,34.26338487,63.71290575,68.80993821,122.04561057,22.993279764,75.60598148999999,67.39409586,39.36041733,80.70301395,41.90893356,51.81983001,34.26338487,83.81786712,48.42180837,46.15646061,112.98421953,48.42180837,98.25945909,58.61587329,65.1287481,67.96043279999999,41.05942815,67.11092739,44.17428132,113.83372494,55.21785165,73.90697066999999,74.47330760999999,51.53666154,75.03964454999999,118.9307574,24.437438961,58.04953635,92.59608969,42.75843897,41.62576509,57.48319941,61.73072646,95.71094286,61.16438952
01186500,45.59012367,25.117043289,40.49309121,90.33074193,28.88318394,72.49112832,50.68715613,68.24360127,76.4554869,75.03964454999999,99.1089645,63.99607422,80.41984547999999,63.71290575,102.79015461,41.90893356,56.06735706,105.05550237,36.52873263,70.22578056,63.14656881,29.16635241,46.43962908,48.42180837,33.69704793,57.76636788,59.4653787,21.152684709,37.37823804,62.2970634,60.59805258,40.77625968,31.43170017,,,86.64955182,71.92479138,154.32681614999998,62.01389493,32.28120558,68.80993821,164.52088107,21.80397219,62.58023187,52.38616695,27.637242672,62.86340034,60.59805258,51.25349307,52.66933542,54.93468318
01057000,52.66933542,52.38616695,32.56437405,64.27924269,35.11289028,32.56437405,70.22578056,64.56241116,51.53666154,71.07528597,58.33270482,29.73268935,35.11289028,58.61587329,119.49709434,24.805557972,88.91489958,191.42188572,22.993279764,94.01193204,32.84754252,36.52873263,47.57230296,74.47330760999999,43.89111285,31.1485317,73.05746526,55.21785165,69.94261209,51.25349307,48.1386399,43.60794438,37.37823804,71.35845444,35.67922722,79.2871716,55.21785165,66.82775892,60.59805258,41.34259662,64.56241116,47.28913449,92.02975275,31.43170017,73.05746526,39.07724886,36.8119011,45.02378673,37.37823804,47.00596602,50.68715613
01176000,35.67922722,19.368723348,41.90893356,35.39605875,21.634071108,48.1386399,56.633694,36.8119011,36.24556416,49.55448225,40.77625968,35.11289028,43.04160744,45.87329214,68.52676973999999,17.160009282,26.674469874,59.4653787,14.72476044,26.108132934,19.368723348,16.253870178,15.744166932,49.55448225,30.58219476,22.143774354,48.70497684,28.88318394,40.20992274,28.316847,32.28120558,43.04160744,20.076644523,35.67922722,27.325757355,65.69508504,33.9802164,48.98814531,45.59012367,23.616250398,45.87329214,55.78418859,16.480404954,41.05942815,41.90893356,27.75051006,18.830703255,27.523975284,32.56437405,45.3069552,29.44952088
01204000,48.42180837,23.956052562,35.96239569,70.22578056,30.86536323,90.89707887,63.42973728,41.05942815,74.47330760999999,101.9406492,85.80004641,35.67922722,93.4455951,61.16438952,100.80797532,42.4752705,54.65151471,155.7426585,26.362984557,82.68519324,34.54655334,25.145360136,35.39605875,40.77625968,53.8020093,49.27131378,95.71094286,18.915653796,29.73268935,43.32477591,26.731103568,47.28913449,20.67129831,35.39605875,26.278034016,55.21785165,64.84557963,121.7624421,63.14656881,23.304765081,47.28913449,180.09514692,15.517632156,54.08517777,63.71290575,22.823378682,32.84754252,26.702786721,51.25349307,41.34259662,53.23567236
01116500,73.34063373,25.740013923,74.19013914,52.95250389,39.07724886,44.17428132,52.10299848,46.43962908,73.34063373,103.35649155,62.58023187,18.321000009,146.39809899,118.64758893,90.6139104,31.43170017,59.74854717,74.19013914,34.26338487,39.6435858,43.32477591,37.37823804,49.83765072,80.98618241999999,54.93468318,26.589519333,70.7921175,37.66140651,89.19806805,57.76636788,61.16438952,84.10103559,24.805557972,38.22774345,84.10103559,97.97629062,95.42777439,96.2772798,61.44755799,49.55448225,396.435858,65.97825351,26.419618251,78.43766619,45.87329214,21.973873272,30.29902629,42.4752705,69.94261209,65.1287481,49.27131378
