STAID,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01105870,11,3,31,15,1,4,6,6,16,19,3,6,11,44,66,0,6,24,6,6,8,9,4,32,16,2,37,18,59,8,16,25,6,54,13,43,64,22,18,25,50,19,0,32,8,4,0,7,27,27,3
01055000,19,17,22,35,18,15,18,24,23,19,5,11,17,21,19,11,11,7,6,13,17,17,11,13,12,14,32,21,20,9,15,12,8,18,10,41,22,29,36,23,26,27,19,16,19,13,8,32,22,20,20
01116000,15,0,56,45,13,0,18,14,28,56,18,3,30,82,39,3,24,19,0,10,0,0,7,9,19,0,31,3,48,8,7,23,1,20,9,22,42,10,22,9,31,8,0,12,9,0,2,8,44,36,22
01193500,12,3,49,29,11,20,12,21,21,44,13,9,20,35,28,5,14,16,10,30,14,11,13,22,19,2,27,4,18,18,11,10,6,24,14,28,44,15,24,8,21,46,1,20,17,8,8,10,39,18,12
01173500,7,0,5,9,2,10,10,5,7,27,6,4,5,22,37,0,11,7,2,7,5,8,9,34,37,10,78,23,12,15,26,28,1,16,6,57,23,23,58,7,39,43,0,13,39,14,4,13,71,33,6
01186500,11,8,37,27,10,32,15,39,18,30,15,12,19,33,26,5,19,15,7,23,12,5,10,28,21,11,41,5,9,26,12,18,4,0,0,26,27,10,33,12,24,42,3,20,19,9,4,10,29,16,10
01057000,23,19,25,44,22,16,21,24,25,21,3,13,12,27,21,2,14,17,7,17,20,11,8,18,17,7,26,11,23,17,17,19,12,18,10,46,21,13,36,33,22,25,11,14,21,9,7,22,13,19,16
01176000,24,0,37,24,0,13,12,22,27,26,17,10,25,40,31,0,14,18,0,6,0,0,0,19,18,1,54,19,17,9,9,30,0,34,9,47,21,24,55,2,33,48,0,19,14,11,0,6,49,32,7
01204000,12,13,38,22,11,23,16,25,18,29,15,8,20,45,26,7,11,13,4,25,19,12,9,22,32,11,42,11,13,15,9,15,3,36,10,21,33,12,24,16,21,45,3,20,16,9,5,8,30,21,10
01116500,18,0,62,29,14,7,15,16,21,41,8,0,15,52,36,1,17,33,1,15,8,8,19,37,18,0,28,23,44,19,9,15,0,8,11,18,34,17,14,16,40,21,0,16,12,0,1,17,51,25,12
01100000,15,10,23,44,5,8,15,25,15,25,7,11,17,41,43,0,21,21,4,16,19,2,0,27,21,6,52,12,26,6,19,20,0,23,9,51,36,17,41,13,32,38,4,0,23,1,3,21,19,18,7
01199050,12,8,28,30,7,22,19,30,12,23,7,8,17,32,16,0,8,13,5,20,21,4,6,30,37,10,44,19,10,13,19,17,6,34,9,35,33,19,39,19,18,38,5,23,24,16,4,9,41,12,5
01208873,0,0,0,0,0,0,0,0,29,30,21,9,20,40,13,1,14,12,12,29,18,14,20,17,18,8,25,13,15,12,18,14,16,25,19,23,33,14,18,15,20,37,22,21,19,14,10,0,0,0,11
01118300,15,11,41,26,12,18,10,18,17,30,16,9,19,51,20,10,22,14,6,21,10,9,14,17,19,4,32,8,36,12,15,19,9,21,15,31,31,19,24,25,27,27,6,10,13,11,11,15,30,22,8
01184000,20,20,25,35,10,14,19,22,13,31,9,12,19,33,30,0,15,18,8,24,24,2,9,28,19,7,45,14,23,14,20,20,7,24,6,38,22,18,37,11,22,40,0,12,16,11,3,20,19,21,5
01168500,13,21,37,30,8,26,18,27,8,29,10,9,13,28,25,5,12,20,4,13,22,3,3,24,13,9,41,6,19,8,12,17,5,20,11,26,19,21,37,15,30,55,7,23,26,12,4,26,32,21,9
01208950,8,17,37,28,17,22,13,22,26,30,23,10,18,44,23,4,15,12,6,32,19,12,18,18,18,3,37,15,19,14,21,14,11,27,13,19,29,16,16,18,25,34,7,9,12,12,7,13,37,22,9
01094500,14,9,25,35,7,18,9,16,11,16,7,7,19,37,24,3,24,21,8,19,17,19,6,28,24,10,45,20,31,10,15,21,9,27,18,40,37,10,34,9,27,30,5,14,20,6,2,17,31,15,9
01155500,17,19,29,32,10,21,28,19,10,29,8,9,14,23,29,5,18,21,10,0,0,0,0,0,0,0,35,11,20,12,13,21,8,24,14,25,20,18,31,17,22,37,7,15,16,10,4,22,23,23,13
01152500,27,18,26,33,11,21,23,22,17,25,6,18,22,16,28,2,19,21,9,15,28,2,6,16,17,7,46,16,17,15,15,21,4,32,9,43,40,11,32,13,28,35,3,4,24,6,4,22,18,18,9
01158000,9,11,29,26,10,18,10,24,13,26,8,7,16,16,33,1,18,19,12,0,0,0,0,0,0,0,38,14,19,8,10,25,4,33,9,49,29,17,23,15,24,35,11,16,25,9,7,29,25,14,12
01189000,14,13,31,21,9,24,14,18,23,19,15,8,19,49,33,5,11,17,7,35,22,12,13,22,25,9,33,10,19,13,7,14,4,26,11,25,38,15,26,0,0,0,0,0,0,0,0,7,21,21,11
01047000,22,22,22,30,24,9,23,30,20,18,3,7,12,29,25,4,18,16,8,13,18,11,9,16,15,16,33,12,23,11,16,8,7,17,8,40,21,20,35,22,24,30,16,17,26,11,8,38,14,20,17
01192500,19,0,0,0,0,0,0,28,17,29,20,2,24,32,32,5,11,15,2,20,14,11,7,20,27,3,43,4,21,14,9,11,5,26,17,41,42,13,24,5,19,44,2,23,13,12,2,7,34,39,14
01169000,19,22,32,26,8,30,12,24,12,29,8,9,21,29,29,4,20,16,12,14,27,10,4,23,20,11,22,11,15,12,13,19,5,30,16,31,22,20,35,13,25,41,7,20,32,15,3,24,16,6,9
01030500,6,28,19,27,13,6,20,27,15,25,4,22,16,31,24,0,7,14,8,25,14,12,0,23,14,0,22,26,32,9,24,10,17,22,1,47,20,19,25,19,27,23,22,13,38,21,13,23,22,27,25
01098530,0,0,0,0,0,0,0,0,0,0,2,4,28,45,18,0,17,19,0,7,4,7,13,24,26,0,38,13,37,4,11,20,4,17,14,35,28,26,54,11,46,38,1,26,15,6,1,10,49,23,8
01102000,20,8,36,17,0,4,18,36,22,21,0,8,23,62,66,0,19,21,0,0,5,2,0,24,27,2,50,14,40,4,15,22,0,24,15,33,40,25,42,9,43,22,1,11,21,9,0,12,29,7,3
01114500,21,12,43,16,7,13,13,17,19,15,9,4,20,67,46,0,11,15,7,15,5,1,14,20,25,0,36,5,36,11,8,20,6,29,9,23,51,13,38,20,40,62,1,15,7,2,1,7,37,14,9
01117420,0,0,0,0,0,10,11,20,36,38,22,0,25,61,22,5,14,16,5,8,2,2,7,20,22,0,27,17,65,10,13,33,1,16,8,31,27,19,16,20,40,24,3,15,30,5,3,11,27,22,13
01135500,16,24,17,30,31,14,21,23,19,20,5,13,19,23,18,11,21,13,14,20,23,9,13,14,22,10,30,16,13,12,26,13,18,23,8,26,14,19,33,16,10,36,7,16,24,21,7,24,20,33,15
01183500,9,10,36,34,5,27,12,31,14,34,19,12,22,34,45,0,11,15,7,19,25,6,5,33,17,14,45,6,19,11,16,20,2,24,9,29,22,18,38,4,29,47,3,14,15,4,4,14,28,7,9
01064500,21,15,23,38,20,13,21,22,20,23,9,18,17,23,31,4,12,11,9,18,20,11,11,17,14,10,39,16,22,14,12,12,8,21,10,39,25,20,32,21,26,28,18,5,20,4,5,28,18,22,17
01206900,16,14,38,33,12,25,17,24,17,30,16,11,18,30,19,4,14,11,4,24,17,11,11,25,21,12,39,5,11,17,9,19,5,33,10,30,38,12,30,13,22,46,3,21,13,7,5,9,31,20,10
01066000,28,26,28,55,5,6,14,28,31,33,10,10,17,29,37,0,18,16,6,21,9,4,0,19,16,9,40,15,30,15,18,18,7,21,0,54,26,19,29,16,25,27,12,0,15,7,0,29,6,22,9
01166500,23,8,21,36,5,23,16,26,8,35,14,8,22,25,43,1,12,25,0,16,9,16,0,22,23,6,59,10,17,7,10,19,0,34,15,50,23,12,46,4,30,32,0,7,25,7,3,23,31,16,9
01031500,21,24,27,36,26,18,29,21,16,23,5,14,14,24,28,3,12,13,9,12,19,11,10,19,10,9,35,20,21,16,20,8,11,17,12,45,18,20,26,23,21,23,14,10,25,14,6,23,16,18,19
01034500,21,27,21,34,27,1,30,15,15,27,1,15,15,34,32,0,8,14,0,16,9,18,5,18,24,4,33,25,23,4,32,7,6,17,0,55,25,19,24,16,22,34,12,9,28,17,9,32,18,20,20
