STAID,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01105870,0,52,0,0,62,30,55,0,2,0,65,89,3,0,0,49,2,0,17,5,0,0,2,51,1,73,0,5,0,1,0,23,14,0,1,14,0,34,2,0,14,0,4,5,23,14,92,59,28,0,54
01055000,17,48,13,4,4,26,0,10,44,43,53,0,9,15,48,33,2,24,2,10,3,15,0,45,27,39,14,10,10,38,0,57,65,7,0,3,0,3,0,0,12,7,1,0,3,12,70,43,8,12,36
01116000,50,61,12,25,51,22,33,20,8,0,12,22,0,0,0,5,0,23,0,0,3,16,0,17,20,96,17,12,15,16,0,0,66,0,0,0,0,0,3,0,25,0,50,3,46,33,52,29,22,31,56
01193500,16,8,0,0,4,6,5,18,9,14,43,34,0,42,3,0,5,41,8,0,1,11,0,19,0,51,0,49,0,32,0,15,29,5,0,58,0,57,11,0,46,0,17,0,43,57,78,15,0,15,69
01173500,10,4,0,0,0,0,21,0,18,1,61,34,10,36,49,0,2,19,0,1,0,0,1,31,8,68,0,47,46,75,0,56,47,2,18,41,0,13,0,0,8,0,2,0,0,32,82,4,0,38,48
01186500,19,22,1,0,21,3,0,0,3,19,42,43,12,36,3,1,5,28,28,9,2,12,0,32,8,64,0,12,32,30,0,24,38,0,0,35,2,50,0,0,53,0,27,0,0,22,96,16,0,21,59
01057000,55,17,0,0,1,6,0,23,64,0,18,0,0,0,4,30,2,27,3,13,8,26,0,68,25,75,6,8,20,25,14,63,56,21,0,20,0,25,0,0,2,3,0,0,0,9,69,37,29,1,59
01176000,14,19,0,0,19,0,21,21,32,0,18,12,4,7,5,0,0,3,4,0,0,0,0,58,0,72,0,68,52,95,0,38,46,0,0,11,0,64,0,0,24,0,20,0,0,21,124,16,0,3,58
01204000,34,5,0,0,8,0,0,40,0,3,42,32,0,34,9,0,16,20,56,0,1,15,0,30,0,40,0,0,5,68,0,20,28,0,1,67,0,38,0,0,65,0,12,5,14,62,96,39,3,47,50
01116500,21,38,0,5,26,19,29,4,2,0,1,77,0,0,0,51,13,1,6,0,1,0,0,11,39,34,12,41,12,26,0,35,51,0,0,22,0,14,4,12,23,0,17,0,47,34,64,38,16,24,87
01100000,25,29,9,3,21,12,2,27,42,7,54,0,6,39,13,11,1,3,27,1,1,21,0,31,3,58,14,14,18,49,1,37,59,0,0,2,0,29,0,0,50,2,15,0,2,16,84,15,4,11,67
01199050,13,31,0,0,4,0,0,9,15,30,84,57,8,0,12,0,0,24,9,0,4,29,0,65,0,67,0,45,12,45,0,30,34,0,0,50,0,32,0,0,30,0,5,0,0,7,86,0,0,24,71
01208873,0,0,0,0,0,0,0,0,3,5,69,57,15,14,7,0,0,12,3,0,0,0,0,46,0,67,0,12,80,47,0,19,0,0,0,41,4,55,0,2,34,0,0,11,2,53,52,0,0,0,28
01118300,0,18,0,0,27,15,18,27,3,4,60,2,0,31,2,0,0,40,7,0,0,12,0,57,58,35,0,3,0,56,0,0,39,0,1,57,0,59,3,0,21,0,0,3,66,43,79,6,12,0,80
01184000,43,54,20,6,14,13,1,22,47,0,24,11,32,31,45,24,0,11,12,0,0,11,0,13,0,57,8,16,5,48,0,50,30,3,4,19,3,26,0,1,22,2,29,1,11,12,43,20,10,22,64
01168500,23,42,26,24,10,5,9,25,13,12,63,54,53,28,47,34,4,19,16,5,17,58,13,41,24,65,16,18,8,10,0,8,2,1,0,13,1,22,2,1,9,4,5,0,4,17,26,5,4,11,23
01208950,84,10,0,0,7,0,1,19,0,0,57,32,0,22,0,0,30,20,43,0,0,20,0,56,4,66,4,0,77,66,0,31,22,0,0,31,0,56,10,0,50,3,0,33,0,34,45,10,0,0,9
01094500,0,0,0,0,0,0,1,0,0,0,2,0,0,1,30,18,0,13,3,0,2,2,1,66,6,73,2,35,27,56,0,86,77,1,15,7,0,24,0,0,31,0,22,8,47,63,104,16,1,46,73
01155500,11,30,21,46,0,6,0,17,0,3,3,17,41,5,1,0,0,2,5,0,0,0,0,0,0,0,18,88,5,71,0,20,52,3,0,31,0,65,0,0,32,0,33,0,2,24,41,25,16,21,50
01152500,0,6,1,1,0,0,0,15,0,0,4,0,0,45,11,23,0,0,5,0,0,36,0,54,6,45,34,60,12,69,0,36,55,0,0,0,0,22,0,0,69,0,63,0,0,14,96,38,13,54,59
01158000,37,52,18,4,30,0,1,18,55,1,15,0,0,73,32,5,1,11,20,0,0,0,0,0,0,0,32,20,26,45,0,43,46,8,0,1,0,32,0,0,57,0,20,0,0,15,26,0,17,29,50
01189000,42,26,0,8,5,0,22,19,18,0,102,80,28,33,9,91,89,19,62,0,0,0,0,4,0,10,0,0,1,34,0,9,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,26,0,0,69
01047000,36,44,0,0,0,24,0,0,91,0,34,0,15,0,23,48,3,26,0,0,3,12,0,48,17,47,0,11,17,39,27,91,80,22,0,3,0,6,0,0,9,0,0,0,0,4,63,31,0,15,44
01192500,18,0,0,0,0,0,0,22,15,0,54,69,4,21,0,0,6,20,54,0,0,3,6,18,1,39,0,0,0,45,1,55,58,0,0,9,0,54,0,3,31,0,1,0,23,56,81,17,0,0,70
01169000,37,30,17,18,10,0,15,10,12,0,62,25,16,55,18,25,0,20,2,0,8,22,0,52,24,37,8,17,60,38,0,20,26,0,0,12,0,22,0,0,52,0,32,0,0,1,63,0,6,30,36
01030500,0,30,0,0,0,48,0,0,65,0,15,0,10,0,34,8,0,35,3,0,0,34,9,12,58,89,2,9,3,20,25,64,32,15,3,0,0,34,0,12,25,0,8,0,24,0,36,65,37,0,70
01098530,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,0,8,45,0,44,0,81,16,31,9,80,23,0,0,14,0,50,0,1,71,2,2,28,30,18,110,40,0,1,37
01102000,0,13,0,0,20,11,11,0,34,4,28,0,0,62,4,0,0,23,0,0,0,24,0,30,3,40,0,83,0,48,0,6,52,0,0,54,0,40,0,0,47,1,16,9,4,32,107,43,0,18,65
01114500,0,0,0,0,0,0,0,0,0,10,45,13,1,37,9,13,0,14,6,0,0,8,0,47,9,3,0,7,2,26,12,3,75,0,0,53,0,82,0,4,44,17,14,4,70,65,72,46,37,16,73
01117420,0,0,0,0,0,23,6,22,0,0,67,49,0,12,0,0,0,23,3,0,0,4,0,54,76,38,0,32,0,43,0,12,31,0,0,32,0,67,0,0,52,0,0,0,82,7,62,0,23,0,79
01135500,40,15,15,0,2,29,0,21,46,27,68,17,11,14,25,37,4,18,32,13,0,38,33,16,0,40,5,0,0,52,2,66,30,22,0,7,0,4,0,3,7,0,26,0,32,0,16,25,23,6,55
01183500,25,25,0,0,5,0,0,0,0,0,51,31,13,25,34,4,1,20,13,0,11,30,0,33,18,52,0,30,39,19,0,37,45,0,0,45,4,25,0,0,38,0,12,1,3,18,120,26,0,19,62
01064500,28,13,15,0,8,21,0,28,108,2,50,0,1,28,36,34,0,21,29,4,0,30,0,24,0,53,0,0,1,19,17,71,81,3,0,2,0,38,0,0,3,1,0,0,0,18,68,27,6,8,36
01206900,28,16,0,0,4,0,5,10,15,2,35,22,3,32,0,0,4,18,20,0,4,15,0,36,0,41,0,18,43,43,0,56,41,0,0,46,3,43,0,0,50,0,12,0,19,33,110,19,7,57,82
01066000,28,1,0,0,0,12,0,17,81,0,50,0,0,17,15,68,0,15,15,13,0,28,0,45,3,61,4,0,0,25,17,63,75,0,0,1,0,52,0,1,24,15,0,0,15,11,73,11,23,10,49
01166500,17,5,4,1,23,3,1,8,43,3,36,33,6,50,21,7,2,12,5,0,4,19,1,50,2,44,12,16,25,52,0,24,62,0,0,0,0,41,0,0,66,0,49,0,0,13,87,13,0,15,58
01031500,9,11,0,0,0,17,0,0,88,20,32,1,15,20,50,1,0,25,0,2,0,9,0,26,16,45,1,17,7,27,49,76,60,13,0,0,0,36,0,10,39,1,2,0,6,0,81,49,8,8,57
01034500,2,18,0,0,0,0,0,4,58,0,17,0,9,0,8,33,0,39,29,4,0,21,2,37,8,89,0,34,1,10,0,130,50,80,4,0,0,7,0,0,13,6,15,0,4,2,53,42,15,1,97
